iter	Passed	Remaining
0	159	158912
1	162	81226
2	166	55247
3	169	42290
4	173	34482
5	176	29264
6	180	25560
7	183	22790
8	187	20660
9	190	18896
10	194	17499
11	197	16293
12	201	15308
13	204	14427
14	208	13660
15	211	13005
16	214	12416
17	218	11903
18	221	11427
19	224	11011
20	228	10661
21	232	10340
22	236	10031
23	239	9759
24	243	9504
25	247	9276
26	251	9067
27	255	8867
28	259	8686
29	262	8492
30	266	8314
31	269	8160
32	273	8026
33	277	7877
34	280	7736
35	284	7608
36	288	7497
37	291	7384
38	295	7278
39	299	7179
40	302	7074
41	305	6973
42	309	6883
43	312	6797
44	316	6717
45	319	6631
46	323	6550
47	326	6479
48	330	6409
49	333	6337
50	337	6281
51	341	6219
52	345	6167
53	348	6110
54	352	6053
55	355	5998
56	359	5954
57	363	5906
58	367	5860
59	371	5817
60	374	5769
61	378	5721
62	381	5676
63	385	5632
64	389	5595
65	391	5540
66	394	5490
67	395	5419
68	397	5361
69	399	5303
70	400	5246
71	402	5192
72	404	5142
73	406	5090
74	408	5040
75	410	4992
76	412	4947
77	414	4904
78	417	4864
79	419	4823
80	421	4780
81	423	4738
82	425	4701
83	427	4665
84	429	4623
85	431	4585
86	433	4544
87	435	4511
88	437	4477
89	439	4446
90	442	4415
91	444	4383
92	446	4356
93	449	4329
94	451	4297
95	453	4272
96	455	4240
97	457	4211
98	460	4188
99	461	4157
100	463	4129
101	465	4098
102	467	4070
103	469	4040
104	471	4018
105	472	3987
106	474	3957
107	476	3934
108	478	3910
109	479	3882
110	481	3856
111	483	3834
112	485	3807
113	486	3781
114	489	3764
115	490	3736
116	491	3709
117	493	3687
118	495	3665
119	496	3641
120	498	3618
121	500	3598
122	501	3573
123	502	3552
124	504	3531
125	506	3516
126	508	3496
127	510	3474
128	512	3458
129	514	3441
130	516	3425
131	519	3413
132	521	3396
133	523	3381
134	525	3369
135	528	3355
136	530	3342
137	532	3326
138	534	3313
139	537	3299
140	539	3288
141	541	3273
142	544	3261
143	546	3248
144	548	3236
145	551	3223
146	553	3212
147	555	3200
148	558	3188
149	560	3176
150	562	3164
151	564	3151
152	567	3141
153	569	3130
154	572	3118
155	574	3108
156	576	3097
157	579	3086
158	581	3077
159	584	3067
160	586	3058
161	589	3051
162	592	3042
163	594	3031
164	596	3020
165	599	3011
166	601	3000
167	603	2989
168	606	2980
169	608	2969
170	610	2959
171	613	2952
172	615	2944
173	618	2935
174	620	2925
175	623	2916
176	625	2906
177	627	2897
178	629	2887
179	631	2878
180	633	2864
181	635	2855
182	637	2846
183	639	2838
184	642	2832
185	645	2822
186	647	2815
187	650	2807
188	652	2798
189	654	2791
190	656	2781
191	659	2774
192	661	2767
193	664	2760
194	666	2752
195	669	2745
196	671	2737
197	673	2729
198	676	2721
199	678	2713
200	680	2706
201	683	2700
202	685	2692
203	688	2686
204	690	2678
205	693	2671
206	695	2665
207	698	2659
208	700	2650
209	702	2643
210	705	2637
211	707	2629
212	710	2623
213	712	2616
214	714	2609
215	717	2602
216	719	2595
217	721	2588
218	723	2581
219	725	2573
220	728	2567
221	730	2559
222	732	2553
223	735	2548
224	737	2541
225	740	2536
226	742	2528
227	744	2521
228	746	2514
229	749	2507
230	751	2501
231	753	2494
232	755	2487
233	758	2481
234	760	2476
235	763	2470
236	765	2464
237	767	2458
238	770	2454
239	773	2448
240	775	2442
241	777	2436
242	779	2427
243	781	2420
244	783	2413
245	784	2405
246	787	2399
247	789	2393
248	791	2385
249	793	2379
250	795	2373
251	796	2364
252	798	2357
253	800	2351
254	802	2344
255	804	2336
256	806	2331
257	808	2324
258	809	2317
259	812	2311
260	814	2305
261	815	2298
262	818	2292
263	820	2286
264	822	2280
265	824	2275
266	826	2269
267	828	2263
268	831	2259
269	833	2253
270	835	2247
271	837	2242
272	839	2236
273	841	2230
274	844	2225
275	846	2219
276	848	2215
277	851	2210
278	853	2204
279	856	2201
280	858	2197
281	861	2192
282	863	2188
283	866	2183
284	868	2178
285	871	2174
286	873	2170
287	876	2165
288	878	2160
289	880	2156
290	883	2152
291	885	2148
292	888	2143
293	890	2139
294	893	2134
295	895	2129
296	897	2124
297	900	2120
298	902	2116
299	905	2112
300	907	2107
301	909	2102
302	911	2097
303	913	2091
304	915	2085
305	917	2081
306	919	2075
307	921	2070
308	924	2066
309	926	2061
310	928	2057
311	931	2053
312	933	2048
313	935	2044
314	938	2040
315	940	2036
316	942	2031
317	944	2026
318	947	2022
319	949	2017
320	951	2011
321	952	2006
322	954	2000
323	956	1995
324	958	1990
325	960	1985
326	961	1979
327	963	1973
328	964	1968
329	966	1962
330	968	1956
331	969	1951
332	971	1945
333	973	1940
334	974	1934
335	975	1928
336	977	1922
337	978	1916
338	980	1911
339	981	1905
340	983	1899
341	984	1893
342	985	1888
343	987	1882
344	988	1876
345	989	1871
346	991	1865
347	992	1859
348	994	1854
349	995	1849
350	997	1844
351	998	1838
352	1000	1834
353	1002	1828
354	1003	1823
355	1004	1817
356	1006	1812
357	1007	1807
358	1009	1802
359	1010	1796
360	1012	1791
361	1013	1786
362	1014	1781
363	1016	1775
364	1017	1770
365	1018	1765
366	1020	1760
367	1022	1755
368	1023	1750
369	1024	1744
370	1027	1741
371	1028	1736
372	1029	1730
373	1030	1725
374	1033	1721
375	1034	1716
376	1035	1711
377	1037	1707
378	1039	1703
379	1040	1697
380	1041	1692
381	1043	1688
382	1045	1684
383	1047	1679
384	1048	1674
385	1050	1671
386	1052	1666
387	1053	1661
388	1054	1656
389	1057	1653
390	1058	1648
391	1059	1643
392	1061	1638
393	1063	1635
394	1064	1630
395	1066	1626
396	1068	1622
397	1069	1617
398	1070	1612
399	1072	1608
400	1074	1605
401	1076	1600
402	1077	1595
403	1078	1591
404	1081	1588
405	1082	1583
406	1083	1578
407	1085	1574
408	1087	1571
409	1088	1566
410	1090	1562
411	1092	1558
412	1094	1555
413	1095	1551
414	1097	1547
415	1100	1544
416	1101	1540
417	1103	1537
418	1106	1533
419	1108	1530
420	1110	1527
421	1112	1523
422	1114	1520
423	1116	1517
424	1118	1513
425	1120	1510
426	1123	1507
427	1125	1503
428	1127	1500
429	1129	1497
430	1131	1494
431	1134	1491
432	1136	1488
433	1139	1485
434	1141	1482
435	1143	1479
436	1145	1475
437	1148	1473
438	1149	1469
439	1152	1466
440	1154	1463
441	1156	1459
442	1158	1457
443	1160	1453
444	1163	1450
445	1165	1447
446	1167	1444
447	1170	1441
448	1173	1439
449	1175	1436
450	1177	1433
451	1179	1430
452	1181	1426
453	1184	1424
454	1186	1420
455	1188	1417
456	1191	1415
457	1193	1411
458	1195	1409
459	1198	1406
460	1200	1403
461	1203	1401
462	1205	1398
463	1207	1394
464	1209	1392
465	1211	1388
466	1214	1386
467	1217	1383
468	1219	1381
469	1222	1378
470	1224	1375
471	1226	1372
472	1228	1369
473	1230	1366
474	1233	1363
475	1235	1360
476	1237	1357
477	1240	1354
478	1243	1351
479	1245	1349
480	1248	1346
481	1250	1343
482	1253	1341
483	1255	1338
484	1257	1335
485	1260	1332
486	1262	1329
487	1264	1326
488	1267	1324
489	1269	1321
490	1272	1319
491	1275	1316
492	1278	1314
493	1280	1311
494	1283	1309
495	1285	1306
496	1287	1303
497	1290	1300
498	1292	1297
499	1294	1294
500	1297	1292
501	1300	1289
502	1302	1286
503	1304	1283
504	1306	1280
505	1309	1278
506	1311	1275
507	1313	1272
508	1316	1269
509	1318	1266
510	1320	1263
511	1322	1260
512	1325	1258
513	1328	1255
514	1330	1253
515	1333	1250
516	1335	1247
517	1338	1245
518	1340	1242
519	1343	1239
520	1345	1237
521	1347	1234
522	1349	1231
523	1352	1228
524	1354	1225
525	1357	1223
526	1359	1220
527	1361	1217
528	1364	1215
529	1367	1212
530	1370	1210
531	1372	1207
532	1374	1204
533	1377	1201
534	1379	1199
535	1382	1196
536	1384	1194
537	1387	1191
538	1389	1188
539	1391	1185
540	1394	1183
541	1396	1180
542	1399	1177
543	1401	1175
544	1404	1172
545	1406	1169
546	1409	1166
547	1411	1164
548	1413	1161
549	1416	1158
550	1418	1156
551	1421	1153
552	1423	1150
553	1426	1148
554	1428	1145
555	1430	1142
556	1433	1140
557	1435	1137
558	1437	1134
559	1440	1131
560	1442	1128
561	1444	1126
562	1447	1123
563	1449	1120
564	1452	1118
565	1454	1114
566	1456	1112
567	1457	1108
568	1459	1105
569	1461	1102
570	1462	1098
571	1464	1095
572	1465	1092
573	1467	1089
574	1469	1085
575	1470	1082
576	1472	1079
577	1474	1076
578	1476	1073
579	1477	1069
580	1478	1066
581	1480	1063
582	1481	1059
583	1483	1056
584	1484	1053
585	1486	1050
586	1487	1046
587	1489	1043
588	1490	1040
589	1492	1036
590	1493	1033
591	1494	1030
592	1496	1027
593	1497	1023
594	1499	1020
595	1500	1017
596	1502	1014
597	1504	1011
598	1505	1007
599	1507	1004
600	1509	1002
601	1511	999
602	1513	996
603	1514	993
604	1516	990
605	1518	987
606	1519	983
607	1521	980
608	1522	977
609	1524	974
610	1525	971
611	1527	968
612	1528	965
613	1530	961
614	1531	958
615	1533	956
616	1535	953
617	1536	949
618	1538	946
619	1540	944
620	1541	940
621	1543	937
622	1545	935
623	1547	932
624	1548	929
625	1551	926
626	1552	923
627	1554	920
628	1556	917
629	1558	915
630	1559	912
631	1561	909
632	1563	906
633	1565	903
634	1566	900
635	1568	897
636	1571	895
637	1572	892
638	1574	889
639	1576	886
640	1577	883
641	1579	880
642	1581	877
643	1582	875
644	1584	872
645	1586	869
646	1588	866
647	1589	863
648	1591	860
649	1592	857
650	1594	854
651	1596	852
652	1599	849
653	1601	847
654	1603	844
655	1606	842
656	1608	839
657	1610	836
658	1612	834
659	1614	831
660	1616	829
661	1618	826
662	1620	823
663	1622	820
664	1624	818
665	1626	815
666	1628	812
667	1630	810
668	1632	807
669	1634	804
670	1636	802
671	1638	799
672	1639	796
673	1642	794
674	1643	791
675	1645	788
676	1647	786
677	1649	783
678	1651	780
679	1654	778
680	1656	775
681	1658	773
682	1660	770
683	1662	768
684	1664	765
685	1667	763
686	1669	760
687	1671	757
688	1674	755
689	1676	753
690	1678	750
691	1680	748
692	1682	745
693	1685	743
694	1687	740
695	1689	737
696	1691	735
697	1694	732
698	1696	730
699	1698	727
700	1700	725
701	1703	723
702	1706	720
703	1708	718
704	1711	716
705	1712	713
706	1715	710
707	1717	708
708	1719	705
709	1722	703
710	1724	700
711	1726	698
712	1729	695
713	1731	693
714	1733	690
715	1735	688
716	1737	685
717	1740	683
718	1742	680
719	1744	678
720	1747	676
721	1749	673
722	1751	671
723	1754	668
724	1756	666
725	1758	663
726	1760	661
727	1763	658
728	1765	656
729	1767	653
730	1770	651
731	1772	648
732	1774	646
733	1777	644
734	1779	641
735	1782	639
736	1784	636
737	1786	634
738	1789	632
739	1791	629
740	1793	627
741	1796	624
742	1798	622
743	1800	619
744	1803	617
745	1805	614
746	1808	612
747	1810	609
748	1812	607
749	1814	604
750	1816	602
751	1818	599
752	1821	597
753	1823	594
754	1825	592
755	1828	590
756	1833	588
757	1835	585
758	1838	583
759	1840	581
760	1843	578
761	1845	576
762	1847	573
763	1850	571
764	1852	569
765	1855	566
766	1857	564
767	1859	561
768	1862	559
769	1864	556
770	1865	554
771	1867	551
772	1868	548
